
{2014-01-02}
     DadosDoDia{name='JSL'codNegociation='JSLG3-NM   R$', complany=JSLG3-NM   R$, date=2014-01-06, openPrice=15.9, closePrice=15.88, percentage=0.0, minPrice=15.74, maxPrice=16.05, avgPrice=15.94, total=1309.0} 
     DadosDoDia{name='LOJAS RENNER'codNegociation='LREN3-NM   R$', complany=LREN3-NM   R$, date=2014-01-06, openPrice=59.42, closePrice=58.99, percentage=0.0, minPrice=58.96, maxPrice=60.43, avgPrice=59.6, total=5550.0} 
     DadosDoDia{name='METAL LEVE'codNegociation='LEVE3F-NM   R$', complany=LEVE3F-NM   R$, date=2014-01-06, openPrice=27.92, closePrice=27.92, percentage=0.0, minPrice=26.61, maxPrice=27.92, avgPrice=27.11, total=4.56} 
     DadosDoDia{name='TELEF BRASIL'codNegociation='VIVT3-R$', complany=VIVT3-R$, date=2014-01-06, openPrice=41.04, closePrice=40.41, percentage=0.0, minPrice=39.49, maxPrice=41.04, avgPrice=40.36, total=62.0} 
     DadosDoDia{name='NATURA'codNegociation='NATU3-NM   R$', complany=NATU3-NM   R$, date=2014-01-06, openPrice=40.81, closePrice=39.96, percentage=0.0, minPrice=39.66, maxPrice=40.81, avgPrice=40.03, total=12461.0} 
     DadosDoDia{name='JSL'codNegociation='JSLG3F-NM   R$', complany=JSLG3F-NM   R$, date=2014-01-06, openPrice=15.9, closePrice=15.9, percentage=0.0, minPrice=15.9, maxPrice=15.9, avgPrice=15.9, total=0.1} 
     DadosDoDia{name='WEG'codNegociation='WEGE3-NM   R$', complany=WEGE3-NM   R$, date=2014-01-06, openPrice=30.1, closePrice=30.28, percentage=0.0, minPrice=29.88, maxPrice=30.74, avgPrice=30.35, total=4055.0} 
     DadosDoDia{name='WEG'codNegociation='WEGE3F-NM   R$', complany=WEGE3F-NM   R$, date=2014-01-06, openPrice=30.09, closePrice=31.97, percentage=0.0, minPrice=29.86, maxPrice=31.97, avgPrice=30.41, total=14.79} 
     DadosDoDia{name='LOJAS RENNER'codNegociation='LREN3F-NM   R$', complany=LREN3F-NM   R$, date=2014-01-06, openPrice=59.1, closePrice=61.45, percentage=0.0, minPrice=58.06, maxPrice=61.45, avgPrice=59.56, total=10.46} 
     DadosDoDia{name='CIELO'codNegociation='CIEL3F-NM   R$', complany=CIEL3F-NM   R$, date=2014-01-06, openPrice=66.5, closePrice=67.17, percentage=0.0, minPrice=66.15, maxPrice=67.17, avgPrice=66.8, total=32.36} 
     DadosDoDia{name='ULTRAPAR'codNegociation='UGPA3F-NM   R$', complany=UGPA3F-NM   R$, date=2014-01-06, openPrice=53.85, closePrice=53.69, percentage=0.0, minPrice=53.12, maxPrice=53.85, avgPrice=53.41, total=26.49} 
{2014-01-07}
     DadosDoDia{name='GRENDENE'codNegociation='GRND3-NM   R$', complany=GRND3-NM   R$, date=2014-01-07, openPrice=18.56, closePrice=18.75, percentage=0.0, minPrice=18.56, maxPrice=18.95, avgPrice=18.81, total=3501.0} 
     DadosDoDia{name='TELEF BRASIL'codNegociation='VIVT3F-R$', complany=VIVT3F-R$, date=2014-01-07, openPrice=40.41, closePrice=40.6, percentage=0.0, minPrice=40.0, maxPrice=40.7, avgPrice=40.44, total=4.04} 
     DadosDoDia{name='WEG'codNegociation='WEGE3F-NM   R$', complany=WEGE3F-NM   R$, date=2014-01-07, openPrice=30.28, closePrice=30.46, percentage=0.0, minPrice=30.1, maxPrice=30.65, avgPrice=30.32, total=2.64} 
     DadosDoDia{name='SID NACIONAL'codNegociation='CSNA3F-R$', complany=CSNA3F-R$, date=2014-01-07, openPrice=14.34, closePrice=14.08, percentage=0.0, minPrice=14.08, maxPrice=14.48, avgPrice=14.29, total=13.47} 
     DadosDoDia{name='WEG'codNegociation='WEGE3-NM   R$', complany=WEGE3-NM   R$, date=2014-01-07, openPrice=30.06, closePrice=30.26, percentage=0.0, minPrice=30.06, maxPrice=30.73, avgPrice=30.4, total=4889.0} 
     DadosDoDia{name='GRENDENE'codNegociation='GRND3F-NM   R$', complany=GRND3F-NM   R$, date=2014-01-07, openPrice=18.7, closePrice=18.86, percentage=0.0, minPrice=18.6, maxPrice=18.92, avgPrice=18.78, total=11.83} 
     DadosDoDia{name='JSL'codNegociation='JSLG3F-NM   R$', complany=JSLG3F-NM   R$, date=2014-01-07, openPrice=15.9, closePrice=16.0, percentage=0.0, minPrice=15.9, maxPrice=16.0, avgPrice=15.92, total=1.21} 
     DadosDoDia{name='TELEF BRASIL'codNegociation='VIVT3-R$', complany=VIVT3-R$, date=2014-01-07, openPrice=40.2, closePrice=41.0, percentage=0.0, minPrice=40.2, maxPrice=41.09, avgPrice=40.72, total=266.0} 
     DadosDoDia{name='ULTRAPAR'codNegociation='UGPA3F-NM   R$', complany=UGPA3F-NM   R$, date=2014-01-07, openPrice=53.7, closePrice=53.65, percentage=0.0, minPrice=53.32, maxPrice=54.04, avgPrice=53.75, total=15.78} 
     DadosDoDia{name='NATURA'codNegociation='NATU3F-NM   R$', complany=NATU3F-NM   R$, date=2014-01-07, openPrice=40.11, closePrice=39.2, percentage=0.0, minPrice=39.2, maxPrice=40.15, avgPrice=39.62, total=12.51} 
     DadosDoDia{name='LOJAS RENNER'codNegociation='LREN3F-NM   R$', complany=LREN3F-NM   R$, date=2014-01-07, openPrice=58.02, closePrice=60.56, percentage=0.0, minPrice=58.02, maxPrice=61.49, avgPrice=60.57, total=6.56} 
     DadosDoDia{name='JSL'codNegociation='JSLG3-NM   R$', complany=JSLG3-NM   R$, date=2014-01-07, openPrice=15.77, closePrice=15.89, percentage=0.0, minPrice=15.76, maxPrice=16.0, avgPrice=15.93, total=1644.0} 
